Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Major,844,0.0,7.0,7.0,9.0,2.0,5.0,6
A,Major,845,0.0,7.0,7.0,9.0,10.0,9.0,6
A,Major,846,0.0,4.0,2.0,2.0,2.0,9.0,6
A,Major,847,0.0,4.0,7.0,6.0,5.0,9.0,6
A,Major,848,0.0,4.0,7.0,9.0,2.0,9.0,6
A,Major,849,9.0,7.0,7.0,6.0,5.0,9.0,6
A,Major,850,9.0,7.0,7.0,9.0,2.0,9.0,6
A,Major,851,0.0,4.0,2.0,2.0,2.0,0.0,6
A,Major,852,0.0,4.0,2.0,2.0,5.0,9.0,6
A,Major,853,0.0,7.0,7.0,6.0,5.0,9.0,6
A,Major,854,0.0,7.0,7.0,9.0,2.0,9.0,6
A,Major,855,0.0,4.0,2.0,6.0,10.0,9.0,6
A,Major,856,0.0,4.0,2.0,6.0,5.0,5.0,6
A,Major,857,0.0,4.0,2.0,6.0,10.0,0.0,6
A,Major,858,0.0,4.0,2.0,9.0,2.0,5.0,6
A,Major,859,0.0,4.0,2.0,9.0,10.0,9.0,6
A,Minor,958,5.0,3.0,2.0,2.0,1.0,5.0,6
A,Minor,959,8.0,0.0,2.0,2.0,1.0,5.0,6
A,Minor,960,5.0,3.0,7.0,5.0,5.0,5.0,6
A,Minor,961,5.0,3.0,7.0,5.0,10.0,0.0,6
A,Minor,962,5.0,3.0,7.0,9.0,1.0,5.0,6
A,Minor,963,5.0,3.0,10.0,2.0,5.0,5.0,6
A,Minor,964,5.0,3.0,10.0,2.0,10.0,0.0,6
A,Minor,965,8.0,0.0,7.0,5.0,5.0,5.0,6
A,Minor,966,8.0,0.0,7.0,5.0,10.0,0.0,6
A,Minor,967,8.0,0.0,7.0,9.0,1.0,5.0,6
A,Minor,968,8.0,0.0,10.0,2.0,5.0,5.0,6
A,Minor,969,8.0,0.0,10.0,2.0,10.0,0.0,6
A,Minor,970,5.0,3.0,2.0,2.0,10.0,8.0,6
A,Minor,971,8.0,0.0,2.0,2.0,10.0,8.0,6
A,Minor,972,5.0,3.0,7.0,9.0,10.0,8.0,6
A,Minor,973,8.0,0.0,7.0,9.0,10.0,8.0,6
A,Minor,974,5.0,3.0,2.0,2.0,5.0,5.0,6
A,Minor,975,5.0,3.0,2.0,2.0,10.0,0.0,6
A,Minor,976,8.0,0.0,2.0,2.0,5.0,5.0,6
A,Minor,977,8.0,0.0,2.0,2.0,10.0,0.0,6
A,Minor,978,0.0,0.0,7.0,5.0,10.0,8.0,6
A,Minor,979,0.0,0.0,10.0,2.0,10.0,8.0,6
